idioms,meaning
The apple of my eye,Someone who is cherished above all others.
The author of your own misfortune,Be to blame for one's own problems.
The ball is in your court,It is your turn to make a decision.
The best of both worlds,The benefits available from two apparently conflicting options.
The best thing since sliced bread,An outstandingly good idea or plan.
The Big Pond,Nickname of the Atlantic Ocean between the UK and the USA.
The bull in the bowler hat,Jokey term for artificial insemination.
The empty chair,The perceived absense of someone who is recently deceased.
The fog of war,Confusion caused by the chaos of battle.
The glorious twelfth,The 12th of August - the start of the British grouse shooting season.
The hair of the dog,"An alcoholic drink, intended to cure a hangover. It is mistakenly believed that a small measure of the same drink that made a person drunk will sober them up and cure the drinks ill effects. The expression is also used in other contexts, whenever an additional dose of whatever caused a problem is thought to be an appropriate remedy."
Heebie-jeebies,A state of nervous anxiety or fear.
The God Squad,enthusiastic Christian believers.
The icing on the cake,Something that makes a good situation even better.
The last straw,"The last of a series of problems, which pushes one's endurance beyond its limits."
Nitty-gritty,The important aspects of a situation; the heart of the matter.
The sound of leather on willow,The sound of the ball on the bat in cricket.
The tail is wagging the dog,A small and usually insignificant factor (or person) dominates over one that is normally more powerful and influential.
The town bike,Promiscuous woman.
The whole nine yards,The full entirety of something.
The wheels have come off,Said when a previously promising enterprise goes irretrievably wrong.
Third time lucky,Said when trying something for the third time.
Third time's a charm,The third try is often successful.
Throw the towel in,"Give up, especially to avoid further punishment when facing certain defeat."
Tie the knot,Get married.
Til the cows come home,A long time to wait.
Titfer tat,Cockney rhyming slang for hat.
To cut a long story short,Said when a storyteller doesn't want to bore his audience with a long involved account.
Tongue in cheek,"Humorously, not to be taken seriously."
Top banana,"The leading, most important, person in a group or organisation."
Tour de force,A feat of strength power or skill.
Toy-boy,A woman's much younger male lover.
Trouble and strife,Cockney rhyming slang for wife.
Turn a blind eye,Refuse to acknowledge something that you know is genuine.
Twist someone's arm,Persuade someone to do something they don't really want to do.
Twenty three skidoo,Invitation to go away.
Two and eight,Cockney rhyming slang for state.
Uncle Dick,Cockney rhyming slang for sick.
Uncle Tom,A derogatory term for a black man who is servile towards white men.
Under the weather,Feeling ill.
Unlucky in love,Having been unable to find a long-term romantic partner.
Up a blind alley,On a fruitless course of action.
Up shit creek without a paddle,"In serious difficulty, with no hope of respite."
Ups a daisy,"A saying, usually to a child, after a stumble or fall, to encourage them to get up. (ups is a variant of whoops)."
Us versus them,Denoting the enmity between two opposing groups.
Use your loaf,Think smart.
Van Gogh's ear for music,Tone deaf.
Variety is the spice of life,Increased experience makes for a more exciting life.
Vatican roulette,The rhythm method of birth control.
Wardrobe malfunction,Referring to an item of clothing slipping out of place to expose part of the body.
Washed up,"1. Deposited on a beach by the tide. 2. Finished and failed, with no further chance of success."
Water under the bridge,A past experience that you prefer not to affect your current life.
Wear your heart on your sleeve,Openly express your emotions.
Well hung,Said of a man with large genitals.
Wet behind the ears,"Young and naive, like a new-born baby."
Where there's muck there's brass,Dirt and muddle are evidence of products being manufactured and money (brass) being made.
Whipper snapper,A child or impertinent youth.
Whistle and flute,Cockney rhyming slang for suit.
White elephant,An object that appears magnificent but which is a burdensome financial liability.
Wild and woolly,Uncultured and lawless.
Wind someone up,Deliberately draw attention to something with the intention of causing trouble.
Wine and dine,Entertain in a high class restaurant.
Winter drawers on,British euphemistic joke.
Work out,1. Calculate using arithmetic. 2. Take exercise (also spelled 'workout').
Word for word,"An exact, precisely corresponding to, copy of another's words."
Worse for wear,"Either 1. Shabby and worn out, or 2. Drunk."
Would you Adam and Eve it?,Cockney rhyming slang for would you believe it?
Wouldn't be caught dead,Referring to something you absolutely refuse to do.
X marks the spot,Said of a location that indicates something significant - like a pirate's mark on a treasure map.
Yarn bombing,The adorning of public buildings with knitted or crocheted material - either for fun or to make a political point.
Yellow belly,A coward.
You are what you eat,What you eat affects you health.
You can lead a horse to water,"You can encourage someone to to do something but, in the end, what they do is their own choice."
You can't judge a book by its cover,Decisions can't be made solely on appearance.
You can't teach and old dog new tricks,Once animals (and people) are set in their ways they struggle to assimilate new ideas.
You can't take it with you,Suggestion that you should spend money and live life now as it will be no use to you after you die.
Your guess is as good as mine,I have no idea.
Your name is mud,You are discredited or in disgrace. The very mention of your name produces scorn.
Your number is up,"It is now your turn. For instance, if 1. You are about to die. or 2. You have won a lottery."
Zip your lip,Say nothing; keep your mouth shut. Often shortened to 'zip it'.
